IATA Code
ATL
DFW
DEN
ORD
LAX
CLT
MCO
CAN
CTU
LAS
PHX
MIA
DEL
IST
SZX
SEA
MEX
CKG
SHA
PEK
KMG
PVG
IAH
SVO
JFK
XIY
DXB
EWR
HGH
FLL
CDG
HND
CJU
AMS
DME
PKX
SAW
FRA
MSP
SFO
GRU
MAD
DTW
BOS
GMP
CUN
SLC
AYT
CSX
WUH
